                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                    6700                                     2442                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.5491280212065235E+007                  2.6160594699763258E-009                  3.8177745633544787E+003                  1.5106251754152963E+004                  2.8133038168686414E+002                  2.0153051847033954E+000                  0.0000000000000000E+000                  8.2567073670518844E-045                  8.8182727934416563E-012                  3.8454772188588632E-001                  4.2333840168968907E-043                  5.5466853011433204E-001                  5.4216979515779896E-002                  9.3311254012880998E+000                 -1.3642821326995153E-007                  4.8920176996507418E+000                  1.9063892926943684E-004                  3.2198808442425704E+000                  1.5399363696131713E-001                  3.6650427780717490E-002                  4.7791616579254531E-001                  4.5340509474367380E-001                  1.0857859263734171E+000                  1.0404195106657323E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.3298221643608379E+000                  2.7977392485025058E+002                  9.3295609900274847E+000                  2.7950746991797411E+002                  1.5466480973583702E+007                  4.8092154905581737E+002                  6.1769958247404527E+006                  4.8472483056951089E+004                  9.4137007143406663E+003                  7.3259738447696673E+003                  5.3734065509563407E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.0445764421652600E+014                                  "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200714" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                 velocity                                     neut                                       h1                                     prot                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                      s32                                     ar36                                     ca40                                     ti44                                     cr48                                     cr56                                     fe52                                     fe54                                     fe56                                     ni56 
                                       1                  9.3311254012880998E+000                  2.4492166354231770E+000                  3.5818102805992367E+000                 -8.5436071449654314E+000                  2.7976176770272039E+000                  5.9332544500339224E-001                  3.8664640046424947E-001                  2.0028154532358289E-002                  0.0000000000000000E+000                  1.0001172761767275E-099                  5.9332544500339224E-001                  1.0001172761767275E-099                  2.3124783441386097E-005                  3.8662327568080807E-001                  1.9020215952904188E-003                  4.4235440823013044E-003                  7.5064688781282243E-003                  1.4567735605582753E-003                  2.8286310369974314E-003                  4.7567411576217473E-004                  3.2036105948293070E-004                  6.2647701488335042E-005                  4.8480297973541664E-005                  1.1207947251965813E-087                  1.0001172761767275E-099                  1.0001172761767275E-099                  1.0001172761767275E-099                  5.7709668533365520E-005                  9.4584253584228571E-004                  0.0000000000000000E+000 
                                       2                  9.3311254012787685E+000                  2.4492166353932983E+000                  3.5818102828599976E+000                 -8.5436071291451476E+000                  2.7976176951055698E+000                  5.9332544500339246E-001                  3.8664640046424925E-001                  2.0028154532358289E-002                  0.0000000000000000E+000                  1.0001172761767277E-099                  5.9332544500339246E-001                  1.0001172761767277E-099                  2.3124783441386103E-005                  3.8662327568080784E-001                  1.9020215952904188E-003                  4.4235440823013027E-003                  7.5064688781282260E-003                  1.4567735605582753E-003                  2.8286310369974323E-003                  4.7567411576217468E-004                  3.2036105948293086E-004                  6.2647701488335056E-005                  4.8480297973541671E-005                  1.1207947251965816E-087                  1.0001172761767277E-099                  1.0001172761767277E-099                  1.0001172761767277E-099                  5.7709668533365520E-005                  9.4584253584228592E-004                  0.0000000000000000E+000 
                                       3                  9.3311254012489453E+000                  2.4492166352978009E+000                  3.5818102911194174E+000                 -8.5436070713476386E+000                  2.7976177611527078E+000                  5.9332544500339235E-001                  3.8664640046424931E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767275E-099                  5.9332544500339235E-001                  1.0001172761767275E-099                  2.3124783441386100E-005                  3.8662327568080790E-001                  1.9020215952904184E-003                  4.4235440823013009E-003                  7.5064688781282252E-003                  1.4567735605582753E-003                  2.8286310369974319E-003                  4.7567411576217452E-004                  3.2036105948293075E-004                  6.2647701488335042E-005                  4.8480297973541678E-005                  1.1207947251965816E-087                  1.0001172761767275E-099                  1.0001172761767275E-099                  1.0001172761767275E-099                  5.7709668533365534E-005                  9.4584253584228581E-004                  0.0000000000000000E+000 
                                       4                  9.3311254011357185E+000                  2.4492166349352571E+000                  3.5818103075708940E+000                 -8.5436069562240657E+000                  2.7976178927082564E+000                  5.9332544500339224E-001                  3.8664640046424942E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767275E-099                  5.9332544500339224E-001                  1.0001172761767275E-099                  2.3124783441386110E-005                  3.8662327568080801E-001                  1.9020215952904184E-003                  4.4235440823013027E-003                  7.5064688781282252E-003                  1.4567735605582760E-003                  2.8286310369974319E-003                  4.7567411576217473E-004                  3.2036105948293091E-004                  6.2647701488335097E-005                  4.8480297973541664E-005                  1.1207947251965813E-087                  1.0001172761767275E-099                  1.0001172761767275E-099                  1.0001172761767275E-099                  5.7709668533365540E-005                  9.4584253584228603E-004                  0.0000000000000000E+000 
                                       5                  9.3311254009640141E+000                  2.4492166343854542E+000                  3.5818103273990092E+000                 -8.5436068174716873E+000                  2.7976180512652458E+000                  5.9332544500339224E-001                  3.8664640046424942E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767275E-099                  5.9332544500339224E-001                  1.0001172761767275E-099                  2.3124783441386117E-005                  3.8662327568080801E-001                  1.9020215952904184E-003                  4.4235440823013027E-003                  7.5064688781282252E-003                  1.4567735605582760E-003                  2.8286310369974327E-003                  4.7567411576217473E-004                  3.2036105948293091E-004                  6.2647701488335097E-005                  4.8480297973541664E-005                  1.1207947251965813E-087                  1.0001172761767275E-099                  1.0001172761767275E-099                  1.0001172761767275E-099                  5.7709668533365513E-005                  9.4584253584228603E-004                  0.0000000000000000E+000 
                                       6                  9.3311254007923061E+000                  2.4492166338356518E+000                  3.5818103571411908E+000                 -8.5436066093432412E+000                  2.7976182891006198E+000                  5.9332544500339235E-001                  3.8664640046424942E-001                  2.0028154532358178E-002                  0.0000000000000000E+000                  1.0001172761767275E-099                  5.9332544500339235E-001                  1.0001172761767275E-099                  2.3124783441386120E-005                  3.8662327568080801E-001                  1.9020215952904188E-003                  4.4235440823013035E-003                  7.5064688781282252E-003                  1.4567735605582755E-003                  2.8286310369974323E-003                  4.7567411576217473E-004                  3.2036105948293081E-004                  6.2647701488335070E-005                  4.8480297973541678E-005                  1.1207947251965816E-087                  1.0001172761767275E-099                  1.0001172761767275E-099                  1.0001172761767275E-099                  5.7709668533365513E-005                  9.4584253584228603E-004                  0.0000000000000000E+000 
                                       7                  9.3311254004488937E+000                  2.4492166327360470E+000                  3.5818104126876089E+000                 -8.5436062206437686E+000                  2.7976187332806695E+000                  5.9332544500339224E-001                  3.8664640046424942E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767277E-099                  5.9332544500339224E-001                  1.0001172761767277E-099                  2.3124783441386110E-005                  3.8662327568080801E-001                  1.9020215952904197E-003                  4.4235440823013027E-003                  7.5064688781282278E-003                  1.4567735605582758E-003                  2.8286310369974345E-003                  4.7567411576217490E-004                  3.2036105948293108E-004                  6.2647701488335110E-005                  4.8480297973541698E-005                  1.1207947251965820E-087                  1.0001172761767277E-099                  1.0001172761767277E-099                  1.0001172761767277E-099                  5.7709668533365561E-005                  9.4584253584228646E-004                  0.0000000000000000E+000 
                                       8                  9.3311253998302703E+000                  2.4492166307552274E+000                  3.5818104841242668E+000                 -8.5436057207498965E+000                  2.7976193045265254E+000                  5.9332544500339224E-001                  3.8664640046424942E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767279E-099                  5.9332544500339224E-001                  1.0001172761767279E-099                  2.3124783441386117E-005                  3.8662327568080801E-001                  1.9020215952904199E-003                  4.4235440823013027E-003                  7.5064688781282286E-003                  1.4567735605582762E-003                  2.8286310369974349E-003                  4.7567411576217490E-004                  3.2036105948293113E-004                  6.2647701488335110E-005                  4.8480297973541698E-005                  1.1207947251965818E-087                  1.0001172761767279E-099                  1.0001172761767279E-099                  1.0001172761767279E-099                  5.7709668533365574E-005                  9.4584253584228657E-004                  0.0000000000000000E+000 
                                       9                  9.3311253992116470E+000                  2.4492166287744110E+000                  3.5818105816652386E+000                 -8.5436050381874509E+000                  2.7976200845143295E+000                  5.9332544500339235E-001                  3.8664640046424925E-001                  2.0028154532358400E-002                  0.0000000000000000E+000                  1.0001172761767271E-099                  5.9332544500339235E-001                  1.0001172761767271E-099                  2.3124783441386097E-005                  3.8662327568080784E-001                  1.9020215952904181E-003                  4.4235440823013009E-003                  7.5064688781282234E-003                  1.4567735605582753E-003                  2.8286310369974314E-003                  4.7567411576217441E-004                  3.2036105948293059E-004                  6.2647701488335056E-005                  4.8480297973541650E-005                  1.1207947251965811E-087                  1.0001172761767271E-099                  1.0001172761767271E-099                  1.0001172761767271E-099                  5.7709668533365500E-005                  9.4584253584228560E-004                  0.0000000000000000E+000 
